industry_code,industry_name,indivs,pacs,total,last_updated,cycle
W06,Retired,284364,0,284364,03/20/2023,2022
Q03,Leadership PACs,2900,164000,166900,03/20/2023,2022
P01,Building Trade Unions,0,87000,87000,03/20/2023,2022
W03,Civil Servants/Public Officials,80037,0,80037,03/20/2023,2022
Q02,Democratic/Liberal,17425,62000,79425,03/20/2023,2022
K01,Lawyers/Law Firms,59830,14000,73830,03/20/2023,2022
Q16,Candidate Committees,10,66422,66432,03/20/2023,2022
P04,Public Sector Unions,1250,62000,63250,03/20/2023,2022
W04,Education,62246,0,62246,03/20/2023,2022
P03,Transportation Unions,1710,55500,57210,03/20/2023,2022
