industry_code,industry_name,indivs,pacs,total,last_updated,cycle
A01,Crop Production & Basic Processing,30000,27000,57000,03/20/2023,2022
Q05,Pro-Israel,30525,10000,40525,03/20/2023,2022
P04,Public Sector Unions,0,32500,32500,03/20/2023,2022
K01,Lawyers/Law Firms,16050,15000,31050,03/20/2023,2022
P01,Building Trade Unions,0,30000,30000,03/20/2023,2022
F10,Real Estate,20750,5000,25750,03/20/2023,2022
W06,Retired,13810,0,13810,03/20/2023,2022
H01,Health Professionals,11200,2500,13700,03/20/2023,2022
M05,Sea Transport,10000,3500,13500,03/20/2023,2022
Q02,Democratic/Liberal,1200,10000,11200,03/20/2023,2022
