industry_code,industry_name,indivs,pacs,total,last_updated,cycle
D01,Defense Aerospace,0,61500,61500,06/10/2019,2018
D02,Defense Electronics,2000,48000,50000,06/10/2019,2018
Q03,Leadership PACs,0,45250,45250,06/10/2019,2018
H04,Pharmaceuticals/Health Products,2500,40750,43250,06/10/2019,2018
D03,Misc Defense,6200,34500,40700,06/10/2019,2018
F10,Real Estate,23425,12500,35925,06/10/2019,2018
M02,Automotive,22200,11500,33700,06/10/2019,2018
H01,Health Professionals,7150,25000,32150,06/10/2019,2018
Q01,Republican/Conservative,21031,5000,26031,06/10/2019,2018
F09,Insurance,2650,23000,25650,06/10/2019,2018
