industry_code,industry_name,indivs,pacs,total,last_updated,cycle
K01,Lawyers/Law Firms,59302,16000,75302,06/10/2019,2018
F06,Finance/Credit Companies,21500,39500,61000,06/10/2019,2018
Q05,Pro-Israel,37050,14200,51250,06/10/2019,2018
Q03,Leadership PACs,0,47000,47000,06/10/2019,2018
W04,Education,21153,14000,35153,06/10/2019,2018
W06,Retired,34366,0,34366,06/10/2019,2018
P03,Transportation Unions,0,30500,30500,06/10/2019,2018
A01,Crop Production & Basic Processing,7500,21500,29000,06/10/2019,2018
F03,Commercial Banks,500,25000,25500,06/10/2019,2018
F10,Real Estate,16700,8000,24700,06/10/2019,2018
