industry_code,industry_name,indivs,pacs,total,last_updated,cycle
Q03,Leadership PACs,0,214400,214400,03/20/2023,2022
W06,Retired,175705,0,175705,03/20/2023,2022
F10,Real Estate,97225,0,97225,03/20/2023,2022
K01,Lawyers/Law Firms,59154,0,59154,03/20/2023,2022
F07,Securities & Investment,48712,0,48712,03/20/2023,2022
Q01,Republican/Conservative,19305,22538,41843,03/20/2023,2022
Q16,Candidate Committees,0,36250,36250,03/20/2023,2022
E01,Oil & Gas,30550,0,30550,03/20/2023,2022
C01,General Contractors,21700,7500,29200,03/20/2023,2022
H01,Health Professionals,21642,0,21642,03/20/2023,2022
