industry_code,industry_name,indivs,pacs,total,last_updated,cycle
F07,Securities & Investment,295038,0,295038,06/10/2019,2018
K01,Lawyers/Law Firms,255163,12750,267913,06/10/2019,2018
W06,Retired,238841,0,238841,06/10/2019,2018
Q03,Leadership PACs,22151,144421,166572,06/10/2019,2018
Q02,Democratic/Liberal,129356,35748,165104,06/10/2019,2018
Q08,Women's Issues,123309,34000,157309,06/10/2019,2018
W04,Education,129199,0,129199,06/10/2019,2018
F10,Real Estate,101442,0,101442,06/10/2019,2018
Q16,Candidate Committees,5500,81500,87000,06/10/2019,2018
W02,Non-Profit Institutions,78775,0,78775,06/10/2019,2018
