industry_code,industry_name,indivs,pacs,total,last_updated,cycle
E01,Oil & Gas,540935,386100,927035,06/10/2019,2018
W06,Retired,510449,0,510449,06/10/2019,2018
Q03,Leadership PACs,0,358953,358953,06/10/2019,2018
H01,Health Professionals,257390,94500,351890,06/10/2019,2018
F03,Commercial Banks,183902,101400,285302,06/10/2019,2018
F10,Real Estate,188153,45500,233653,06/10/2019,2018
F09,Insurance,81254,133000,214254,06/10/2019,2018
K01,Lawyers/Law Firms,138875,28000,166875,06/10/2019,2018
C01,General Contractors,126055,32000,158055,06/10/2019,2018
K02,Lobbyists,150522,2164,152686,06/10/2019,2018
