industry_code,industry_name,indivs,pacs,total,last_updated,cycle
Q03,Leadership PACs,0,43300,43300,03/20/2023,2022
F09,Insurance,19900,22500,42400,03/20/2023,2022
W06,Retired,27275,0,27275,03/20/2023,2022
A01,Crop Production & Basic Processing,1550,23000,24550,03/20/2023,2022
Q01,Republican/Conservative,14999,9000,23999,03/20/2023,2022
H01,Health Professionals,17050,2000,19050,03/20/2023,2022
K02,Lobbyists,18375,0,18375,03/20/2023,2022
K01,Lawyers/Law Firms,11250,5750,17000,03/20/2023,2022
F10,Real Estate,13700,2000,15700,03/20/2023,2022
N05,Business Services,13200,2500,15700,03/20/2023,2022
