industry_code,industry_name,indivs,pacs,total,last_updated,cycle
W06,Retired,65880,0,65880,06/10/2019,2018
F10,Real Estate,36200,5000,41200,06/10/2019,2018
Q03,Leadership PACs,18500,13000,31500,06/10/2019,2018
M02,Automotive,5150,18500,23650,06/10/2019,2018
F09,Insurance,7050,12000,19050,06/10/2019,2018
D01,Defense Aerospace,0,18000,18000,06/10/2019,2018
N03,Retail Sales,1855,14000,15855,06/10/2019,2018
F03,Commercial Banks,6500,7500,14000,06/10/2019,2018
E04,Mining,250,12517,12767,06/10/2019,2018
N15,Misc Manufacturing & Distributing,10200,2000,12200,06/10/2019,2018
