industry_code,industry_name,indivs,pacs,total,last_updated,cycle
F09,Insurance,3500,153000,156500,03/20/2023,2022
F07,Securities & Investment,57150,67400,124550,03/20/2023,2022
F10,Real Estate,17250,91000,108250,03/20/2023,2022
F03,Commercial Banks,9950,32000,41950,03/20/2023,2022
K01,Lawyers/Law Firms,25585,15700,41285,03/20/2023,2022
P04,Public Sector Unions,0,37000,37000,03/20/2023,2022
F11,Accountants,500,33500,34000,03/20/2023,2022
K02,Lobbyists,33000,0,33000,03/20/2023,2022
N03,Retail Sales,5800,26500,32300,03/20/2023,2022
W06,Retired,31785,0,31785,03/20/2023,2022
