industry_code,industry_name,indivs,pacs,total,last_updated,cycle
F09,Insurance,174050,252500,426550,03/20/2023,2022
F07,Securities & Investment,127550,150500,278050,03/20/2023,2022
H01,Health Professionals,13750,196750,210500,03/20/2023,2022
K02,Lobbyists,193707,4000,197707,03/20/2023,2022
E08,Electric Utilities,2500,143500,146000,03/20/2023,2022
F10,Real Estate,54450,75500,129950,03/20/2023,2022
K01,Lawyers/Law Firms,49350,77500,126850,03/20/2023,2022
H04,Pharmaceuticals/Health Products,3500,119000,122500,03/20/2023,2022
H03,Health Services/HMOs,15600,95000,110600,03/20/2023,2022
H02,Hospitals/Nursing Homes,17200,70000,87200,03/20/2023,2022
