industry_code,industry_name,indivs,pacs,total,last_updated,cycle
W06,Retired,1220905,0,1220905,03/20/2023,2022
Q05,Pro-Israel,668958,54500,723458,03/20/2023,2022
F07,Securities & Investment,533337,5000,538337,03/20/2023,2022
K01,Lawyers/Law Firms,469062,29250,498312,03/20/2023,2022
Q02,Democratic/Liberal,334655,84176,418831,03/20/2023,2022
Q03,Leadership PACs,73860,330387,404247,03/20/2023,2022
F10,Real Estate,339201,18500,357701,03/20/2023,2022
W04,Education,256579,0,256579,03/20/2023,2022
Q08,Women's Issues,167112,37500,204612,03/20/2023,2022
H01,Health Professionals,147004,31500,178504,03/20/2023,2022
