industry_code,industry_name,indivs,pacs,total,last_updated,cycle
Q01,Republican/Conservative,122591,10000,132591,03/20/2023,2022
W06,Retired,106190,0,106190,03/20/2023,2022
Q03,Leadership PACs,0,25500,25500,03/20/2023,2022
Q13,Gun Rights,12100,10000,22100,03/20/2023,2022
H01,Health Professionals,17631,1000,18631,03/20/2023,2022
N05,Business Services,14329,0,14329,03/20/2023,2022
F07,Securities & Investment,14155,0,14155,03/20/2023,2022
F10,Real Estate,9961,0,9961,03/20/2023,2022
N07,Casinos/Gambling,9800,0,9800,03/20/2023,2022
N15,Misc Manufacturing & Distributing,9500,0,9500,03/20/2023,2022
