industry_code,industry_name,indivs,pacs,total,last_updated,cycle
W06,Retired,202472,0,202472,06/10/2019,2018
Q03,Leadership PACs,68450,70200,138650,06/10/2019,2018
N12,Misc Business,96941,0,96941,06/10/2019,2018
Q01,Republican/Conservative,80275,16000,96275,06/10/2019,2018
F10,Real Estate,76415,12000,88415,06/10/2019,2018
H01,Health Professionals,77018,9500,86518,06/10/2019,2018
C01,General Contractors,60550,9500,70050,06/10/2019,2018
M02,Automotive,49550,20000,69550,06/10/2019,2018
H04,Pharmaceuticals/Health Products,52200,3500,55700,06/10/2019,2018
N08,Lodging/Tourism,29600,19500,49100,06/10/2019,2018
