industry_code,industry_name,indivs,pacs,total,last_updated,cycle
W06,Retired,890474,0,890474,03/20/2023,2022
Q03,Leadership PACs,2473,500250,502723,03/20/2023,2022
Q01,Republican/Conservative,385643,80587,466230,03/20/2023,2022
F10,Real Estate,318353,36000,354353,03/20/2023,2022
F07,Securities & Investment,238199,29500,267699,03/20/2023,2022
F09,Insurance,55073,112000,167073,03/20/2023,2022
Q05,Pro-Israel,121854,12900,134754,03/20/2023,2022
H01,Health Professionals,102890,13000,115890,03/20/2023,2022
K01,Lawyers/Law Firms,84945,8750,93695,03/20/2023,2022
N15,Misc Manufacturing & Distributing,68733,10000,78733,03/20/2023,2022
