industry_code,industry_name,indivs,pacs,total,last_updated,cycle
F07,Securities & Investment,156125,122503,278628,03/20/2023,2022
F09,Insurance,25200,202000,227200,03/20/2023,2022
F03,Commercial Banks,4750,152000,156750,03/20/2023,2022
F10,Real Estate,32925,70500,103425,03/20/2023,2022
K02,Lobbyists,76300,3330,79630,03/20/2023,2022
H04,Pharmaceuticals/Health Products,8500,69400,77900,03/20/2023,2022
K01,Lawyers/Law Firms,33780,42500,76280,03/20/2023,2022
F06,Finance/Credit Companies,12000,59000,71000,03/20/2023,2022
N03,Retail Sales,9250,50500,59750,03/20/2023,2022
P04,Public Sector Unions,6100,50000,56100,03/20/2023,2022
