industry_code,industry_name,indivs,pacs,total,last_updated,cycle
D01,Defense Aerospace,5400,56500,61900,06/10/2019,2018
Q05,Pro-Israel,26300,22000,48300,06/10/2019,2018
Q03,Leadership PACs,0,45000,45000,06/10/2019,2018
B09,Telecom Services,15300,18500,33800,06/10/2019,2018
D02,Defense Electronics,0,32500,32500,06/10/2019,2018
H01,Health Professionals,9589,19000,28589,06/10/2019,2018
D03,Misc Defense,1000,23250,24250,06/10/2019,2018
E01,Oil & Gas,0,22500,22500,06/10/2019,2018
K01,Lawyers/Law Firms,6560,15500,22060,06/10/2019,2018
A01,Crop Production & Basic Processing,0,21000,21000,06/10/2019,2018
