industry_code,industry_name,indivs,pacs,total,last_updated,cycle
W06,Retired,92265,0,92265,06/10/2019,2018
P03,Transportation Unions,0,69500,69500,06/10/2019,2018
P01,Building Trade Unions,0,51500,51500,06/10/2019,2018
P04,Public Sector Unions,0,50500,50500,06/10/2019,2018
K01,Lawyers/Law Firms,33466,15550,49016,06/10/2019,2018
F10,Real Estate,35253,12000,47253,06/10/2019,2018
F07,Securities & Investment,37900,0,37900,06/10/2019,2018
Q03,Leadership PACs,0,34400,34400,06/10/2019,2018
C01,General Contractors,26925,2500,29425,06/10/2019,2018
Q05,Pro-Israel,24000,5000,29000,06/10/2019,2018
