industry_code,industry_name,indivs,pacs,total,last_updated,cycle
K01,Lawyers/Law Firms,190029,28400,218429,06/10/2019,2018
B12,Electronics Mfg & Equip,125161,69905,195066,06/10/2019,2018
B13,Internet,72050,41500,113550,06/10/2019,2018
F07,Securities & Investment,99967,6000,105967,06/10/2019,2018
W06,Retired,69205,0,69205,06/10/2019,2018
N06,Recreation/Live Entertainment,37900,15000,52900,06/10/2019,2018
F11,Accountants,4930,47000,51930,06/10/2019,2018
F10,Real Estate,42346,9000,51346,06/10/2019,2018
W02,Non-Profit Institutions,46200,0,46200,06/10/2019,2018
B02,TV/Movies/Music,16280,18000,34280,06/10/2019,2018
