industry_code,industry_name,indivs,pacs,total,last_updated,cycle
F07,Securities & Investment,694850,398800,1093650,06/10/2019,2018
F09,Insurance,166450,476200,642650,06/10/2019,2018
F03,Commercial Banks,163400,299800,463200,06/10/2019,2018
F10,Real Estate,269950,161410,431360,06/10/2019,2018
Q03,Leadership PACs,0,431100,431100,06/10/2019,2018
K02,Lobbyists,371738,1500,373238,06/10/2019,2018
H04,Pharmaceuticals/Health Products,78900,205721,284621,06/10/2019,2018
F06,Finance/Credit Companies,79800,174700,254500,06/10/2019,2018
F13,Misc Finance,154852,92000,246852,06/10/2019,2018
H03,Health Services/HMOs,108000,116500,224500,06/10/2019,2018
