industry_code,industry_name,indivs,pacs,total,last_updated,cycle
F10,Real Estate,94897,19000,113897,03/20/2023,2022
F07,Securities & Investment,83918,3000,86918,03/20/2023,2022
W06,Retired,84931,0,84931,03/20/2023,2022
D02,Defense Electronics,21700,49000,70700,03/20/2023,2022
Q03,Leadership PACs,0,68532,68532,03/20/2023,2022
D03,Misc Defense,23050,36500,59550,03/20/2023,2022
H01,Health Professionals,10772,37500,48272,03/20/2023,2022
K02,Lobbyists,43696,1000,44696,03/20/2023,2022
A01,Crop Production & Basic Processing,9300,34000,43300,03/20/2023,2022
K01,Lawyers/Law Firms,22850,12500,35350,03/20/2023,2022
