industry_code,industry_name,indivs,pacs,total,last_updated,cycle
F07,Securities & Investment,715881,38500,754381,03/20/2023,2022
F10,Real Estate,350449,51000,401449,03/20/2023,2022
Q05,Pro-Israel,261961,30000,291961,03/20/2023,2022
W06,Retired,222277,0,222277,03/20/2023,2022
K01,Lawyers/Law Firms,170814,7500,178314,03/20/2023,2022
Q02,Democratic/Liberal,97768,20400,118168,03/20/2023,2022
F09,Insurance,34050,53000,87050,03/20/2023,2022
W02,Non-Profit Institutions,71368,0,71368,03/20/2023,2022
W04,Education,69199,0,69199,03/20/2023,2022
H01,Health Professionals,62547,0,62547,03/20/2023,2022
