industry_code,industry_name,indivs,pacs,total,last_updated,cycle
W06,Retired,158472,0,158472,03/20/2023,2022
F07,Securities & Investment,80650,22000,102650,03/20/2023,2022
H01,Health Professionals,74966,22500,97466,03/20/2023,2022
F03,Commercial Banks,57150,31500,88650,03/20/2023,2022
A07,Agricultural Services/Products,17000,71000,88000,03/20/2023,2022
F10,Real Estate,70299,13000,83299,03/20/2023,2022
Q03,Leadership PACs,0,70400,70400,03/20/2023,2022
K01,Lawyers/Law Firms,63524,6000,69524,03/20/2023,2022
E01,Oil & Gas,26300,43000,69300,03/20/2023,2022
A01,Crop Production & Basic Processing,8750,53500,62250,03/20/2023,2022
