industry_code,industry_name,indivs,pacs,total,last_updated,cycle
K01,Lawyers/Law Firms,1171700,97724,1269424,06/10/2019,2018
W06,Retired,818729,0,818729,06/10/2019,2018
F07,Securities & Investment,572197,177746,749943,06/10/2019,2018
F10,Real Estate,519963,64000,583963,06/10/2019,2018
Q03,Leadership PACs,83700,486850,570550,06/10/2019,2018
H01,Health Professionals,437170,53500,490670,06/10/2019,2018
F09,Insurance,149810,340740,490550,06/10/2019,2018
Q11,Environment,415720,30665,446385,06/10/2019,2018
W04,Education,408447,3500,411947,06/10/2019,2018
K02,Lobbyists,373372,9550,382922,06/10/2019,2018
