industry_code,industry_name,indivs,pacs,total,last_updated,cycle
E01,Oil & Gas,157890,190500,348390,03/20/2023,2022
W06,Retired,206584,0,206584,03/20/2023,2022
Q03,Leadership PACs,0,189600,189600,03/20/2023,2022
H01,Health Professionals,71070,106000,177070,03/20/2023,2022
K02,Lobbyists,170655,1000,171655,03/20/2023,2022
M02,Automotive,52197,77500,129697,03/20/2023,2022
F03,Commercial Banks,110520,13500,124020,03/20/2023,2022
H04,Pharmaceuticals/Health Products,23260,100203,123463,03/20/2023,2022
F10,Real Estate,77419,27500,104919,03/20/2023,2022
H03,Health Services/HMOs,25910,76500,102410,03/20/2023,2022
