industry_code,industry_name,indivs,pacs,total,last_updated,cycle
F07,Securities & Investment,471733,0,471733,06/10/2019,2018
E01,Oil & Gas,375580,75700,451280,06/10/2019,2018
W06,Retired,448715,0,448715,06/10/2019,2018
Q03,Leadership PACs,0,271000,271000,06/10/2019,2018
F10,Real Estate,187957,1000,188957,06/10/2019,2018
A01,Crop Production & Basic Processing,120774,21500,142274,06/10/2019,2018
E04,Mining,88383,27000,115383,06/10/2019,2018
Q01,Republican/Conservative,77575,32500,110075,06/10/2019,2018
N15,Misc Manufacturing & Distributing,107415,1000,108415,06/10/2019,2018
F03,Commercial Banks,82304,15438,97742,06/10/2019,2018
