org_name,total,pacs,indivs,cycle,source,cid
Democracy Engine,20650,0,20650,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00000751&cycle=2022,N00000751
NorPAC,14950,0,14950,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00000751&cycle=2022,N00000751
Computer Crafts,14500,0,14500,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00000751&cycle=2022,N00000751
Related Companies,11600,0,11600,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00000751&cycle=2022,N00000751
Okonite Co,10800,0,10800,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00000751&cycle=2022,N00000751
Campbell & Levine,10500,0,10500,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00000751&cycle=2022,N00000751
American Assn of Orthopaedic Surgeons,10000,10000,0,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00000751&cycle=2022,N00000751
American Clinical Laboratory Assn,10000,10000,0,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00000751&cycle=2022,N00000751
American Federation of State/Cnty/Munic Employees,10000,10000,0,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00000751&cycle=2022,N00000751
American Federation of Teachers,10000,10000,0,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00000751&cycle=2022,N00000751
