org_name,total,pacs,indivs,cycle,source,cid
Hantz Group,14800,0,14800,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00045730&cycle=2022,N00045730
Jackson National Life Insurance,12500,12500,0,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00045730&cycle=2022,N00045730
Highland Engineering,11200,0,11200,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00045730&cycle=2022,N00045730
American Crystal Sugar,10000,10000,0,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00045730&cycle=2022,N00045730
American Israel Public Affairs Cmte,10000,10000,0,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00045730&cycle=2022,N00045730
Boeing Co,10000,10000,0,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00045730&cycle=2022,N00045730
Council of Insurance Agents & Brokers,10000,10000,0,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00045730&cycle=2022,N00045730
Credit Union National Assn,10000,10000,0,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00045730&cycle=2022,N00045730
DTE Energy,10000,10000,0,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00045730&cycle=2022,N00045730
E-PAC,10000,10000,0,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00045730&cycle=2022,N00045730
