org_name,total,pacs,indivs,cycle,source,cid
American Israel Public Affairs Cmte,22900,7900,15000,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00035346&cycle=2022,N00035346
National Community Pharmacists Assn,12500,10000,2500,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00035346&cycle=2022,N00035346
Dulany Industries,11600,0,11600,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00035346&cycle=2022,N00035346
Medquest Pharmacy,11600,0,11600,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00035346&cycle=2022,N00035346
Resource Land Consultants,11600,0,11600,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00035346&cycle=2022,N00035346
Yancey Brothers,11600,0,11600,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00035346&cycle=2022,N00035346
Jones Co,11400,0,11400,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00035346&cycle=2022,N00035346
Coleman Co,10700,0,10700,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00035346&cycle=2022,N00035346
American Optometric Assn,10500,10000,500,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00035346&cycle=2022,N00035346
Animal Wellness Action,10400,6500,3900,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00035346&cycle=2022,N00035346
