org_name,total,pacs,indivs,cycle,source,cid
Delta Air Lines,57760,12000,45760,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00006236&cycle=2022,N00006236
Charter Communications,46400,15000,31400,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00006236&cycle=2022,N00006236
Neurological Surgery PC,46000,0,46000,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00006236&cycle=2022,N00006236
Blackstone Group,44800,0,44800,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00006236&cycle=2022,N00006236
Amgen Inc,37400,10000,27400,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00006236&cycle=2022,N00006236
Pinnacle West Capital,34900,12500,22400,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00006236&cycle=2022,N00006236
Chevron Corp,33400,12000,21400,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00006236&cycle=2022,N00006236
Fierce Government Relations,31900,0,31900,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00006236&cycle=2022,N00006236
Capital Group Companies,26500,12000,14500,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00006236&cycle=2022,N00006236
"Brownstein, Hyatt et al",26100,5500,20600,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00006236&cycle=2022,N00006236
