org_name,total,pacs,indivs,cycle,source,cid
Google Inc,1044041,0,1044041,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00040675&cycle=2022,N00040675
Apple Inc,373777,0,373777,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00040675&cycle=2022,N00040675
Microsoft Corp,342958,0,342958,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00040675&cycle=2022,N00040675
Amazon.com,290021,0,290021,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00040675&cycle=2022,N00040675
Meta,266153,0,266153,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00040675&cycle=2022,N00040675
US Government,244546,0,244546,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00040675&cycle=2022,N00040675
University Of California,225883,0,225883,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00040675&cycle=2022,N00040675
Stanford University,212789,0,212789,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00040675&cycle=2022,N00040675
Emory University,193117,0,193117,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00040675&cycle=2022,N00040675
Democracy Engine,192792,0,192792,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00040675&cycle=2022,N00040675
