org_name,total,pacs,indivs,cycle,source,cid
Senate Conservatives Fund,77941,10000,67941,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00032546&cycle=2022,N00032546
Fiduciary Management Inc,56000,0,56000,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00032546&cycle=2022,N00032546
National Republican Senatorial Cmte,51200,51200,0,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00032546&cycle=2022,N00032546
Johnsonville Sausage,34825,0,34825,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00032546&cycle=2022,N00032546
Rice Lake Weighing Systems,34400,0,34400,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00032546&cycle=2022,N00032546
Foley & Lardner,31881,1000,30881,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00032546&cycle=2022,N00032546
Abc Supply,31800,0,31800,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00032546&cycle=2022,N00032546
Ashley Furniture,29901,0,29901,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00032546&cycle=2022,N00032546
Sargento Foods,29400,0,29400,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00032546&cycle=2022,N00032546
Klondike Cheese,29000,0,29000,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00032546&cycle=2022,N00032546
