org_name,total,pacs,indivs,cycle,source,cid
AFLAC Inc,38950,10000,28950,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00002674&cycle=2022,N00002674
Digidems PAC,26704,2933,23771,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00002674&cycle=2022,N00002674
American Israel Public Affairs Cmte,21200,7900,13300,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00002674&cycle=2022,N00002674
Frontline USA,18300,10000,8300,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00002674&cycle=2022,N00002674
Bain Capital,14100,0,14100,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00002674&cycle=2022,N00002674
Thomas Usaf Group,14100,0,14100,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00002674&cycle=2022,N00002674
THEGROUP,13450,0,13450,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00002674&cycle=2022,N00002674
Altria Group,12900,10000,2900,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00002674&cycle=2022,N00002674
Home Depot,12900,10000,2900,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00002674&cycle=2022,N00002674
Comcast Corp,12000,10000,2000,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00002674&cycle=2022,N00002674
