sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,185634,133685,319319,03/20/2023,2022
Communic/Electronics,B,71976,104000,175976,03/20/2023,2022
Construction,C,118979,58500,177479,03/20/2023,2022
Defense,D,15827,50250,66077,03/20/2023,2022
Energy/Nat Resource,E,66551,132500,199051,03/20/2023,2022
Finance/Insur/RealEst,F,627616,326500,954116,03/20/2023,2022
Health,H,98933,70500,169433,03/20/2023,2022
Lawyers & Lobbyists,K,144654,20000,164654,03/20/2023,2022
Transportation,M,123869,120500,244369,03/20/2023,2022
Misc Business,N,291178,115000,406178,03/20/2023,2022
Labor,P,252,22000,22252,03/20/2023,2022
Ideology/Single-Issue,Q,465507,525600,991107,03/20/2023,2022
Other,W,979942,4500,984442,03/20/2023,2022
