sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,6800,1000,7800,03/20/2023,2022
Communic/Electronics,B,3050,4500,7550,03/20/2023,2022
Construction,C,33049,17500,50549,03/20/2023,2022
Defense,D,500,0,500,03/20/2023,2022
Energy/Nat Resource,E,22347,12500,34847,03/20/2023,2022
Finance/Insur/RealEst,F,86600,23500,110100,03/20/2023,2022
Health,H,12750,5000,17750,03/20/2023,2022
Lawyers & Lobbyists,K,63299,0,63299,03/20/2023,2022
Transportation,M,4150,7500,11650,03/20/2023,2022
Misc Business,N,69570,22400,91970,03/20/2023,2022
Labor,P,0,22500,22500,03/20/2023,2022
Ideology/Single-Issue,Q,17800,58400,76200,03/20/2023,2022
Other,W,100625,0,100625,03/20/2023,2022
