sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,46600,22000,68600,03/20/2023,2022
Communic/Electronics,B,8650,15000,23650,03/20/2023,2022
Construction,C,11100,6000,17100,03/20/2023,2022
Energy/Nat Resource,E,1000,2500,3500,03/20/2023,2022
Finance/Insur/RealEst,F,143952,33500,177452,03/20/2023,2022
Health,H,130875,14000,144875,03/20/2023,2022
Lawyers & Lobbyists,K,63190,6500,69690,03/20/2023,2022
Transportation,M,4800,36000,40800,03/20/2023,2022
Misc Business,N,43150,19500,62650,03/20/2023,2022
Labor,P,0,121500,121500,03/20/2023,2022
Ideology/Single-Issue,Q,23214,89212,112426,03/20/2023,2022
Other,W,77560,3500,81060,03/20/2023,2022
