sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,15275,46500,61775,03/20/2023,2022
Communic/Electronics,B,19319,54230,73549,03/20/2023,2022
Construction,C,23545,23500,47045,03/20/2023,2022
Defense,D,795,13000,13795,03/20/2023,2022
Energy/Nat Resource,E,28141,105500,133641,03/20/2023,2022
Finance/Insur/RealEst,F,93890,56000,149890,03/20/2023,2022
Health,H,22646,115500,138146,03/20/2023,2022
Lawyers & Lobbyists,K,104982,26500,131482,03/20/2023,2022
Transportation,M,19283,56000,75283,03/20/2023,2022
Misc Business,N,77889,44500,122389,03/20/2023,2022
Labor,P,0,4500,4500,03/20/2023,2022
Ideology/Single-Issue,Q,230747,68303,299050,03/20/2023,2022
Other,W,142096,0,142096,03/20/2023,2022
