sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,19688,38500,58188,03/20/2023,2022
Communic/Electronics,B,274757,50090,324847,03/20/2023,2022
Construction,C,64275,46500,110775,03/20/2023,2022
Defense,D,4958,26000,30958,03/20/2023,2022
Energy/Nat Resource,E,34642,51000,85642,03/20/2023,2022
Finance/Insur/RealEst,F,788047,178500,966547,03/20/2023,2022
Health,H,895377,170500,1065877,03/20/2023,2022
Lawyers & Lobbyists,K,805945,21000,826945,03/20/2023,2022
Transportation,M,50910,80900,131810,03/20/2023,2022
Misc Business,N,352871,86804,439675,03/20/2023,2022
Labor,P,850,233500,234350,03/20/2023,2022
Ideology/Single-Issue,Q,201360,69423,270783,03/20/2023,2022
Other,W,720270,2000,722270,03/20/2023,2022
