sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,5448,31100,36548,03/20/2023,2022
Communic/Electronics,B,4600,16000,20600,03/20/2023,2022
Construction,C,13197,21500,34697,03/20/2023,2022
Defense,D,1000,7000,8000,03/20/2023,2022
Energy/Nat Resource,E,6050,21500,27550,03/20/2023,2022
Finance/Insur/RealEst,F,85456,82500,167956,03/20/2023,2022
Health,H,15060,16500,31560,03/20/2023,2022
Lawyers & Lobbyists,K,45550,9572,55122,03/20/2023,2022
Transportation,M,9089,13000,22089,03/20/2023,2022
Misc Business,N,35435,35000,70435,03/20/2023,2022
Labor,P,0,7500,7500,03/20/2023,2022
Ideology/Single-Issue,Q,66907,89079,155986,03/20/2023,2022
Other,W,91463,2000,93463,03/20/2023,2022
