sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,382409,174750,557159,03/20/2023,2022
Communic/Electronics,B,384823,219500,604323,03/20/2023,2022
Construction,C,721061,149000,870061,03/20/2023,2022
Defense,D,55391,91950,147341,03/20/2023,2022
Energy/Nat Resource,E,373567,262031,635598,03/20/2023,2022
Finance/Insur/RealEst,F,4227049,1449300,5676349,03/20/2023,2022
Health,H,1019660,766000,1785660,03/20/2023,2022
Lawyers & Lobbyists,K,1131324,117250,1248574,03/20/2023,2022
Transportation,M,433955,201895,635850,03/20/2023,2022
Misc Business,N,1272136,511350,1783486,03/20/2023,2022
Labor,P,1945,20000,21945,03/20/2023,2022
Ideology/Single-Issue,Q,2558554,601504,3160058,03/20/2023,2022
Other,W,13890134,20500,13910634,03/20/2023,2022
