sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,5817,24000,29817,03/20/2023,2022
Communic/Electronics,B,2696,28500,31196,03/20/2023,2022
Construction,C,24064,21500,45564,03/20/2023,2022
Defense,D,311,9500,9811,03/20/2023,2022
Energy/Nat Resource,E,6499,17500,23999,03/20/2023,2022
Finance/Insur/RealEst,F,54949,34250,89199,03/20/2023,2022
Health,H,84507,118999,203506,03/20/2023,2022
Lawyers & Lobbyists,K,56401,10500,66901,03/20/2023,2022
Transportation,M,23901,34000,57901,03/20/2023,2022
Misc Business,N,31993,66500,98493,03/20/2023,2022
Labor,P,0,2000,2000,03/20/2023,2022
Ideology/Single-Issue,Q,65776,134400,200176,03/20/2023,2022
Other,W,183776,0,183776,03/20/2023,2022
