sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,2250,23180,25430,03/20/2023,2022
Communic/Electronics,B,95508,128300,223808,03/20/2023,2022
Construction,C,2829,52000,54829,03/20/2023,2022
Defense,D,49582,85900,135482,03/20/2023,2022
Energy/Nat Resource,E,3325,19500,22825,03/20/2023,2022
Finance/Insur/RealEst,F,107694,104000,211694,03/20/2023,2022
Health,H,12089,34500,46589,03/20/2023,2022
Lawyers & Lobbyists,K,92088,25500,117588,03/20/2023,2022
Transportation,M,22461,41500,63961,03/20/2023,2022
Misc Business,N,45719,44500,90219,03/20/2023,2022
Labor,P,3500,246400,249900,03/20/2023,2022
Ideology/Single-Issue,Q,17829,21512,39341,03/20/2023,2022
Other,W,207758,0,207758,03/20/2023,2022
