sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,23371,37500,60871,03/20/2023,2022
Communic/Electronics,B,435135,0,435135,03/20/2023,2022
Construction,C,51213,3000,54213,03/20/2023,2022
Defense,D,45042,0,45042,03/20/2023,2022
Energy/Nat Resource,E,35360,3500,38860,03/20/2023,2022
Finance/Insur/RealEst,F,1274079,18000,1292079,03/20/2023,2022
Health,H,285213,30250,315463,03/20/2023,2022
Lawyers & Lobbyists,K,532823,14000,546823,03/20/2023,2022
Transportation,M,67544,2500,70044,03/20/2023,2022
Misc Business,N,440257,15500,455757,03/20/2023,2022
Labor,P,8847,266000,274847,03/20/2023,2022
Ideology/Single-Issue,Q,810618,548798,1359416,03/20/2023,2022
Other,W,2148553,0,2148553,03/20/2023,2022
