sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,2000,12000,14000,03/20/2023,2022
Communic/Electronics,B,9200,19500,28700,03/20/2023,2022
Construction,C,2000,6000,8000,03/20/2023,2022
Defense,D,0,3000,3000,03/20/2023,2022
Energy/Nat Resource,E,4400,7500,11900,03/20/2023,2022
Finance/Insur/RealEst,F,41933,55500,97433,03/20/2023,2022
Health,H,15050,20500,35550,03/20/2023,2022
Lawyers & Lobbyists,K,24200,14400,38600,03/20/2023,2022
Transportation,M,0,7500,7500,03/20/2023,2022
Misc Business,N,13700,27000,40700,03/20/2023,2022
Labor,P,0,145000,145000,03/20/2023,2022
Ideology/Single-Issue,Q,6850,28512,35362,03/20/2023,2022
Other,W,46256,0,46256,03/20/2023,2022
