sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,105600,173500,279100,03/20/2023,2022
Communic/Electronics,B,185367,201500,386867,03/20/2023,2022
Construction,C,103992,172300,276292,03/20/2023,2022
Defense,D,1016,62500,63516,03/20/2023,2022
Energy/Nat Resource,E,457432,762900,1220332,03/20/2023,2022
Finance/Insur/RealEst,F,882388,482000,1364388,03/20/2023,2022
Health,H,408920,654000,1062920,03/20/2023,2022
Lawyers & Lobbyists,K,496920,144750,641670,03/20/2023,2022
Transportation,M,155533,239670,395203,03/20/2023,2022
Misc Business,N,368634,403200,771834,03/20/2023,2022
Labor,P,0,8000,8000,03/20/2023,2022
Ideology/Single-Issue,Q,232335,481731,714066,03/20/2023,2022
Other,W,581983,12000,593983,03/20/2023,2022
