sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,2500,16500,19000,03/20/2023,2022
Communic/Electronics,B,11775,32500,44275,03/20/2023,2022
Construction,C,1801,8500,10301,03/20/2023,2022
Defense,D,18175,96500,114675,03/20/2023,2022
Energy/Nat Resource,E,11700,42000,53700,03/20/2023,2022
Finance/Insur/RealEst,F,88760,39000,127760,03/20/2023,2022
Health,H,21123,44000,65123,03/20/2023,2022
Lawyers & Lobbyists,K,109770,8250,118020,03/20/2023,2022
Transportation,M,2500,51500,54000,03/20/2023,2022
Misc Business,N,61335,30500,91835,03/20/2023,2022
Labor,P,0,21000,21000,03/20/2023,2022
Ideology/Single-Issue,Q,25492,81205,106697,03/20/2023,2022
Other,W,105295,0,105295,03/20/2023,2022
