sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,141849,142000,283849,03/20/2023,2022
Communic/Electronics,B,121904,68600,190504,03/20/2023,2022
Construction,C,605744,90500,696244,03/20/2023,2022
Defense,D,312977,109500,422477,03/20/2023,2022
Energy/Nat Resource,E,265762,93000,358762,03/20/2023,2022
Finance/Insur/RealEst,F,1522410,348000,1870410,03/20/2023,2022
Health,H,268139,75900,344039,03/20/2023,2022
Lawyers & Lobbyists,K,735281,65900,801181,03/20/2023,2022
Transportation,M,374652,115500,490152,03/20/2023,2022
Misc Business,N,540065,138960,679025,03/20/2023,2022
Labor,P,0,15000,15000,03/20/2023,2022
Ideology/Single-Issue,Q,180721,382300,563021,03/20/2023,2022
Other,W,1068418,11400,1079818,03/20/2023,2022
