sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,17678,-1000,16678,03/20/2023,2022
Communic/Electronics,B,594099,0,594099,03/20/2023,2022
Construction,C,38233,0,38233,03/20/2023,2022
Defense,D,918,0,918,03/20/2023,2022
Energy/Nat Resource,E,55137,0,55137,03/20/2023,2022
Finance/Insur/RealEst,F,1511404,0,1511404,03/20/2023,2022
Health,H,289451,1000,290451,03/20/2023,2022
Lawyers & Lobbyists,K,311290,0,311290,03/20/2023,2022
Transportation,M,29289,0,29289,03/20/2023,2022
Misc Business,N,271859,0,271859,03/20/2023,2022
Labor,P,7709,-1000,6709,03/20/2023,2022
Ideology/Single-Issue,Q,288245,8012,296257,03/20/2023,2022
Other,W,839611,-1000,838611,03/20/2023,2022
