sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,77400,229500,306900,03/20/2023,2022
Communic/Electronics,B,29025,54000,83025,03/20/2023,2022
Construction,C,58001,63500,121501,03/20/2023,2022
Defense,D,0,11000,11000,03/20/2023,2022
Energy/Nat Resource,E,37600,104000,141600,03/20/2023,2022
Finance/Insur/RealEst,F,273065,129000,402065,03/20/2023,2022
Health,H,113225,38000,151225,03/20/2023,2022
Lawyers & Lobbyists,K,89624,6000,95624,03/20/2023,2022
Transportation,M,34600,86000,120600,03/20/2023,2022
Misc Business,N,81162,66000,147162,03/20/2023,2022
Labor,P,0,21500,21500,03/20/2023,2022
Ideology/Single-Issue,Q,36470,114800,151270,03/20/2023,2022
Other,W,221102,3000,224102,03/20/2023,2022
