sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,23330,32000,55330,03/20/2023,2022
Communic/Electronics,B,32514,55590,88104,03/20/2023,2022
Construction,C,30312,30500,60812,03/20/2023,2022
Defense,D,5,15000,15005,03/20/2023,2022
Energy/Nat Resource,E,7567,43000,50567,03/20/2023,2022
Finance/Insur/RealEst,F,456215,469000,925215,03/20/2023,2022
Health,H,127880,266500,394380,03/20/2023,2022
Lawyers & Lobbyists,K,262131,20500,282631,03/20/2023,2022
Transportation,M,10579,51500,62079,03/20/2023,2022
Misc Business,N,82630,129308,211938,03/20/2023,2022
Labor,P,250,167000,167250,03/20/2023,2022
Ideology/Single-Issue,Q,206265,91328,297593,03/20/2023,2022
Other,W,500450,3000,503450,03/20/2023,2022
