sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,131461,101500,232961,03/20/2023,2022
Communic/Electronics,B,215243,183200,398443,03/20/2023,2022
Construction,C,157718,93000,250718,03/20/2023,2022
Defense,D,44025,163000,207025,03/20/2023,2022
Energy/Nat Resource,E,594596,705433,1300029,03/20/2023,2022
Finance/Insur/RealEst,F,1470769,437200,1907969,03/20/2023,2022
Health,H,223246,448400,671646,03/20/2023,2022
Lawyers & Lobbyists,K,543742,177000,720742,03/20/2023,2022
Transportation,M,187182,248000,435182,03/20/2023,2022
Misc Business,N,571525,349382,920907,03/20/2023,2022
Labor,P,1752,237000,238752,03/20/2023,2022
Ideology/Single-Issue,Q,411582,612433,1024015,03/20/2023,2022
Other,W,1272995,11500,1284495,03/20/2023,2022
