sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,42101,260325,302426,03/20/2023,2022
Communic/Electronics,B,40363,68500,108863,03/20/2023,2022
Construction,C,73025,122900,195925,03/20/2023,2022
Defense,D,6150,72000,78150,03/20/2023,2022
Energy/Nat Resource,E,106942,328950,435892,03/20/2023,2022
Finance/Insur/RealEst,F,353569,161800,515369,03/20/2023,2022
Health,H,249101,109500,358601,03/20/2023,2022
Lawyers & Lobbyists,K,245832,45750,291582,03/20/2023,2022
Transportation,M,33050,176000,209050,03/20/2023,2022
Misc Business,N,151752,189500,341252,03/20/2023,2022
Labor,P,0,64500,64500,03/20/2023,2022
Ideology/Single-Issue,Q,803473,181500,984973,03/20/2023,2022
Other,W,240907,0,240907,03/20/2023,2022
