sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,19602,52500,72102,03/20/2023,2022
Communic/Electronics,B,103914,115050,218964,03/20/2023,2022
Construction,C,33753,14000,47753,03/20/2023,2022
Defense,D,2500,27500,30000,03/20/2023,2022
Energy/Nat Resource,E,33475,102400,135875,03/20/2023,2022
Finance/Insur/RealEst,F,532755,328500,861255,03/20/2023,2022
Health,H,128701,255500,384201,03/20/2023,2022
Lawyers & Lobbyists,K,280269,63755,344024,03/20/2023,2022
Transportation,M,7318,53000,60318,03/20/2023,2022
Misc Business,N,237288,189000,426288,03/20/2023,2022
Labor,P,975,233000,233975,03/20/2023,2022
Ideology/Single-Issue,Q,280693,668365,949058,03/20/2023,2022
Other,W,453161,3000,456161,03/20/2023,2022
