sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,5600,94500,100100,03/20/2023,2022
Communic/Electronics,B,11900,53900,65800,03/20/2023,2022
Construction,C,1625,58000,59625,03/20/2023,2022
Defense,D,2900,34000,36900,03/20/2023,2022
Energy/Nat Resource,E,22050,87750,109800,03/20/2023,2022
Finance/Insur/RealEst,F,68245,566000,634245,03/20/2023,2022
Health,H,139120,442500,581620,03/20/2023,2022
Lawyers & Lobbyists,K,71020,55750,126770,03/20/2023,2022
Transportation,M,8750,76997,85747,03/20/2023,2022
Misc Business,N,27207,126164,153371,03/20/2023,2022
Labor,P,450,84500,84950,03/20/2023,2022
Ideology/Single-Issue,Q,13950,35290,49240,03/20/2023,2022
Other,W,75763,1500,77263,03/20/2023,2022
