sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,22500,21000,43500,03/20/2023,2022
Communic/Electronics,B,1500,11000,12500,03/20/2023,2022
Construction,C,50396,47000,97396,03/20/2023,2022
Defense,D,5800,39000,44800,03/20/2023,2022
Energy/Nat Resource,E,33150,37000,70150,03/20/2023,2022
Finance/Insur/RealEst,F,81401,33500,114901,03/20/2023,2022
Health,H,61550,62750,124300,03/20/2023,2022
Lawyers & Lobbyists,K,26750,19250,46000,03/20/2023,2022
Transportation,M,9500,53500,63000,03/20/2023,2022
Misc Business,N,33650,42500,76150,03/20/2023,2022
Labor,P,0,11500,11500,03/20/2023,2022
Ideology/Single-Issue,Q,22550,73500,96050,03/20/2023,2022
Other,W,70250,0,70250,03/20/2023,2022
