sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,33374,3000,36374,03/20/2023,2022
Communic/Electronics,B,31017,0,31017,03/20/2023,2022
Construction,C,63526,12000,75526,03/20/2023,2022
Defense,D,46286,0,46286,03/20/2023,2022
Energy/Nat Resource,E,49399,7500,56899,03/20/2023,2022
Finance/Insur/RealEst,F,547502,22400,569902,03/20/2023,2022
Health,H,71076,14500,85576,03/20/2023,2022
Lawyers & Lobbyists,K,98496,500,98996,03/20/2023,2022
Transportation,M,64090,16000,80090,03/20/2023,2022
Misc Business,N,173657,15500,189157,03/20/2023,2022
Labor,P,0,2000,2000,03/20/2023,2022
Ideology/Single-Issue,Q,99112,452200,551312,03/20/2023,2022
Other,W,653891,1000,654891,03/20/2023,2022
