sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,34900,47500,82400,03/20/2023,2022
Communic/Electronics,B,750,5000,5750,03/20/2023,2022
Construction,C,4500,10500,15000,03/20/2023,2022
Energy/Nat Resource,E,2900,21500,24400,03/20/2023,2022
Finance/Insur/RealEst,F,22050,17000,39050,03/20/2023,2022
Health,H,1350,9250,10600,03/20/2023,2022
Lawyers & Lobbyists,K,4850,0,4850,03/20/2023,2022
Transportation,M,50,10000,10050,03/20/2023,2022
Misc Business,N,3900,25000,28900,03/20/2023,2022
Labor,P,0,2500,2500,03/20/2023,2022
Ideology/Single-Issue,Q,27300,149400,176700,03/20/2023,2022
Other,W,57395,0,57395,03/20/2023,2022
