sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,34750,28500,63250,03/20/2023,2022
Communic/Electronics,B,15670,43590,59260,03/20/2023,2022
Construction,C,36675,40000,76675,03/20/2023,2022
Defense,D,0,3000,3000,03/20/2023,2022
Energy/Nat Resource,E,140200,104574,244774,03/20/2023,2022
Finance/Insur/RealEst,F,188232,229800,418032,03/20/2023,2022
Health,H,48250,47500,95750,03/20/2023,2022
Lawyers & Lobbyists,K,128684,26250,154934,03/20/2023,2022
Transportation,M,18190,46644,64834,03/20/2023,2022
Misc Business,N,105940,55948,161888,03/20/2023,2022
Labor,P,0,33000,33000,03/20/2023,2022
Ideology/Single-Issue,Q,46166,255500,301666,03/20/2023,2022
Other,W,131814,1000,132814,03/20/2023,2022
