sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,46850,112000,158850,03/20/2023,2022
Communic/Electronics,B,3800,26000,29800,03/20/2023,2022
Construction,C,41100,55500,96600,03/20/2023,2022
Defense,D,0,9000,9000,03/20/2023,2022
Energy/Nat Resource,E,18650,68500,87150,03/20/2023,2022
Finance/Insur/RealEst,F,100780,103000,203780,03/20/2023,2022
Health,H,10151,81000,91151,03/20/2023,2022
Lawyers & Lobbyists,K,25305,11250,36555,03/20/2023,2022
Transportation,M,18050,102995,121045,03/20/2023,2022
Misc Business,N,22310,52750,75060,03/20/2023,2022
Labor,P,0,146500,146500,03/20/2023,2022
Ideology/Single-Issue,Q,46905,128450,175355,03/20/2023,2022
Other,W,95689,3100,98789,03/20/2023,2022
