sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,168195,98200,266395,03/20/2023,2022
Communic/Electronics,B,1030290,125700,1155990,03/20/2023,2022
Construction,C,214451,126250,340701,03/20/2023,2022
Defense,D,13894,45000,58894,03/20/2023,2022
Energy/Nat Resource,E,146676,81500,228176,03/20/2023,2022
Finance/Insur/RealEst,F,2207177,882082,3089259,03/20/2023,2022
Health,H,1326351,439700,1766051,03/20/2023,2022
Lawyers & Lobbyists,K,2352787,147950,2500737,03/20/2023,2022
Transportation,M,105915,34750,140665,03/20/2023,2022
Misc Business,N,1168895,284850,1453745,03/20/2023,2022
Labor,P,48639,408450,457089,03/20/2023,2022
Ideology/Single-Issue,Q,2127902,716810,2844712,03/20/2023,2022
Other,W,5829060,7000,5836060,03/20/2023,2022
