sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,15824,0,15824,03/20/2023,2022
Communic/Electronics,B,4759,0,4759,03/20/2023,2022
Construction,C,10976,-1500,9476,03/20/2023,2022
Defense,D,100,0,100,03/20/2023,2022
Energy/Nat Resource,E,9000,6500,15500,03/20/2023,2022
Finance/Insur/RealEst,F,30734,0,30734,03/20/2023,2022
Health,H,19038,1000,20038,03/20/2023,2022
Lawyers & Lobbyists,K,5250,0,5250,03/20/2023,2022
Transportation,M,7800,0,7800,03/20/2023,2022
Misc Business,N,40769,0,40769,03/20/2023,2022
Labor,P,500,0,500,03/20/2023,2022
Ideology/Single-Issue,Q,135941,50450,186391,03/20/2023,2022
Other,W,117996,0,117996,03/20/2023,2022
