sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,22745,8000,30745,03/20/2023,2022
Communic/Electronics,B,555825,235800,791625,03/20/2023,2022
Construction,C,48928,3500,52428,03/20/2023,2022
Defense,D,31673,48500,80173,03/20/2023,2022
Energy/Nat Resource,E,59601,24900,84501,03/20/2023,2022
Finance/Insur/RealEst,F,1228991,149400,1378391,03/20/2023,2022
Health,H,238339,166300,404639,03/20/2023,2022
Lawyers & Lobbyists,K,1445267,79500,1524767,03/20/2023,2022
Transportation,M,56383,62500,118883,03/20/2023,2022
Misc Business,N,336307,110697,447004,03/20/2023,2022
Labor,P,681,149500,150181,03/20/2023,2022
Ideology/Single-Issue,Q,563761,434550,998311,03/20/2023,2022
Other,W,1342328,2000,1344328,03/20/2023,2022
