sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,106990,38500,145490,03/20/2023,2022
Communic/Electronics,B,23400,54000,77400,03/20/2023,2022
Construction,C,26160,42500,68660,03/20/2023,2022
Defense,D,1000,21500,22500,03/20/2023,2022
Energy/Nat Resource,E,59733,60500,120233,03/20/2023,2022
Finance/Insur/RealEst,F,594668,910200,1504868,03/20/2023,2022
Health,H,75243,107400,182643,03/20/2023,2022
Lawyers & Lobbyists,K,134542,18000,152542,03/20/2023,2022
Transportation,M,37512,66000,103512,03/20/2023,2022
Misc Business,N,113171,90800,203971,03/20/2023,2022
Labor,P,0,16000,16000,03/20/2023,2022
Ideology/Single-Issue,Q,103403,180200,283603,03/20/2023,2022
Other,W,322087,0,322087,03/20/2023,2022
