sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,58704,14370,73074,03/20/2023,2022
Communic/Electronics,B,38613,74000,112613,03/20/2023,2022
Construction,C,130423,30500,160923,03/20/2023,2022
Defense,D,2105,0,2105,03/20/2023,2022
Energy/Nat Resource,E,56756,19500,76256,03/20/2023,2022
Finance/Insur/RealEst,F,838230,124500,962730,03/20/2023,2022
Health,H,153607,48000,201607,03/20/2023,2022
Lawyers & Lobbyists,K,194106,10000,204106,03/20/2023,2022
Transportation,M,74218,55000,129218,03/20/2023,2022
Misc Business,N,162487,90650,253137,03/20/2023,2022
Labor,P,0,50400,50400,03/20/2023,2022
Ideology/Single-Issue,Q,433958,540200,974158,03/20/2023,2022
Other,W,659839,0,659839,03/20/2023,2022
